Title,District,Price €,Space m²,Rooms,available since
"1ZimmerWohnung,Schwabing",MünchenMaxvorstadt,900,30,1-Zimmer-Wohnung,29.06.2022-31.08.2022
TeilmöbliertesApartmentanU2Karl-Preis-Platz|FurnishedApartmentclosetoU2Karl-Preis-Platz,MünchenAu-Haidhausen,595,25,1-Zimmer-Wohnung,01.07.2022
Möblierte1-Zimmer-WohnunginMünchenRiem,MünchenTrudering-Riem,650,18,1-Zimmer-Wohnung,01.07.2022
MöbliertesStudentenappartment,MünchenSchwing-Freimann,950,19,1-Zimmer-Wohnung,01.10.2022-30.09.2025
vollmöbliertesStudentenappartment,MünchenSchwing-Freimann,950,19,1-Zimmer-Wohnung,01.10.2022-30.09.2025
(Verfügbar1-24Monate)-ModernesZimmermittollerAussichtineinemColivingApartmentinMünchen,München,950,12,1-Zimmer-Wohnung,04.06.2022
VöllmöbliertesStudentenappartment,MünchenSchwing-Freimann,950,19,1-Zimmer-Wohnung,01.10.2022-30.09.2026
Möblierte1ZimmerWohnungbefristetzuvermieten,MünchenNeuhausen-Nymphenburg,686,34,1-Zimmer-Wohnung,18.07.2022
1ZimmerAppartmentnäheBMW,MünchenFeldmoching-Hasenbergl,650,28,1-Zimmer-Wohnung,23.06.2022-16.09.2022
NEUESWOHNHEIMFÜRSTUDIERENDEUNDAZUBISINMÜNCHEN:GemütlicheApartments-vollmöbliertunddabeibezahlbar,MünchenTrudering-Riem,780,19,1-Zimmer-Wohnung,23.06.2022
1ZimmerwohnungunbefristetnurfürStudenten,MünchenLudwigsvorstadt-Isarvorstadt,580,23,1-Zimmer-Wohnung,16.07.2022
"ZentraleLage,neusvollmobiliertes1-ZimmerApartmentinderLüdwigsvorstadt",MünchenLudwigsvorstadt-Isarvorstadt,990,27,1-Zimmer-Wohnung,15.07.2022
neuesmöbliertesStudentenappartmentinFreimann,MünchenSchwing-Freimann,950,19,1-Zimmer-Wohnung,01.10.2022-18.10.2024
UntermieteMünchenSchwabing,MünchenSchwing-West,866,36,1-Zimmer-Wohnung,01.07.2022-30.09.2022
THEFIZZMünchen–WohnenaufZeit–VollmöblierteApartmentsmitflexiblenMietzeiten,MünchenNeuhausen-Nymphenburg,2189,40,1-Zimmer-Wohnung,23.06.2022-21.12.2022
THEFIZZMünchen–WohnenaufZeit–VollmöblierteApartmentsmitflexiblenMietzeiten,MünchenNeuhausen-Nymphenburg,1989,28,1-Zimmer-Wohnung,23.06.2022-19.12.2022
"Schöne,geräumigeundkomfortable1-Zimmer-Wohnung",MünchenMaxvorstadt,800,40,1-Zimmer-Wohnung,24.06.2022-31.12.2024
THEFIZZMünchen–WohnenaufZeit-VollmöblierteApartmentsmitflexiblenMietzeiten,MünchenNeuhausen-Nymphenburg,1859,31,1-Zimmer-Wohnung,23.06.2022-14.08.2023
THEFIZZMunich-FullyfurnishedApartments-Flexiblerentalperiods,MünchenNeuhausen-Nymphenburg,1769,24,1-Zimmer-Wohnung,23.06.2022-18.10.2023
THEFIZZMünchen–WohnenaufZeit–VollmöblierteApartmentsmitflexiblenMietzeiten,MünchenNeuhausen-Nymphenburg,1859,24,1-Zimmer-Wohnung,23.06.2022-31.01.2025
THEFIZZMunich–FullyfurnishedApartmentsforStudents,MünchenNeuhausen-Nymphenburg,988,17,1-Zimmer-Wohnung,23.06.2022-21.09.2023
THEFIZZMünchen–VollmöbliertesApartmentfürStudenten,MünchenNeuhausen-Nymphenburg,988,17,1-Zimmer-Wohnung,23.06.2022-21.09.2023
"Schönehelle1-ZimmerWohnungWaldfriedhofstr.1,Küche,Bad,TG,Keller,Südbalkonim3.Stock",MünchenSendling-Westpark,850,40,1-Zimmer-Wohnung,01.08.2022
ModerneWohnungfürPendlervon24Junibis03Juli,MünchenSchwing-Freimann,300,35,1-Zimmer-Wohnung,24.06.2022-03.07.2022
1ZimmerApartmentfürJuli-inMaxvorstadt,MünchenMaxvorstadt,900,20,1-Zimmer-Wohnung,01.07.2022-01.08.2022
Schöne1-ZimmerWohnungzurZwischenmiete,MünchenNeuhausen-Nymphenburg,700,21,1-Zimmer-Wohnung,01.08.2022-30.09.2022
33qmgroßenDesignerApartmentamArabellapark(Bogenhausen).miteigenemSchwimmbadimHaus.,MünchenBogenhausen,1100,33,1-Zimmer-Wohnung,01.09.2022-31.10.2023
"tollesCityapartment,modern,vollmöbliertSchwabing,ruhig,schick,UninäheundBMWNähe",MünchenSchwing-West,1030,27,1-Zimmer-Wohnung,01.10.2022
"vollmöbliertes,neurenoviertes,schönesApartment,Königsplatz,TUundFHNähe,keinerleiProvision,besteöffentlAnbindung,newrenovatedapartmentincitycenternearTUM,FH,bestconnections,",MünchenMaxvorstadt,1010,23,1-Zimmer-Wohnung,01.08.2022
"Moderne1-Zimmer-WohnungamPasingNURanStudenten,AzubisundPraktikanten!!",MünchenPasing-Obermenzing,850,18,1-Zimmer-Wohnung,15.10.2022-15.10.2023
SchönesZimmerinStudentenwohnheiminguterLage,MünchenMoosach,570,19,1-Zimmer-Wohnung,07.08.2022-31.01.2023
"(Verfügbar1-24Monate)-SchönesApartment,nurfürStudenten,PraktikantenoderAzubis",München,1290,21,1-Zimmer-Wohnung,01.08.2022
RuhigeGartenwohnunginFreimann,MünchenSchwing-Freimann,570,25,1-Zimmer-Wohnung,01.07.2022
SuperZentrale1-ZimmerWohnungmitBalkon,MünchenGlockenbach,800,30,1-Zimmer-Wohnung,01.07.2022-01.08.2022
möbliertes1-ZimmerAppartmentfürStudierende/PraktikantInnen,MünchenMünchen,889,18,1-Zimmer-Wohnung,05.07.2022
1bedcoyzflatclosetoSendlingertor,MünchenMünchen,650,45,1-Zimmer-Wohnung,02.07.2022-17.07.2022
KurzfristigeUntermiete,München81927Bogenhausen,800,30,1-Zimmer-Wohnung,01.07.2022-30.09.2022
(Studenten)AppartmentinderLandshuterAlleeabdem01.07.2022zuvermieten,MünchenNeuhausen-Nymphenburg,630,21,1-Zimmer-Wohnung,01.07.2022
Greatfurnishedapartmentavailableinamazinglocation,MünchenLudwigsvorstadt-Isarvorstadt,1090,17,1-Zimmer-Wohnung,01.07.2022
Imp10studentenwohnungen,MünchenSendling-Westpark,915,26,1-Zimmer-Wohnung,01.09.2022
MöbliertesAppartmentmitLoggiaimSchwabingaufZeitzuvermieten,MünchenNeuhausen-Nymphenburg,950,38,1-Zimmer-Wohnung,01.08.2022-10.11.2022
22:StylischmöbliertesruhigesApartmentimZentrumMünchens,MünchenLudwigsvorstadt-Isarvorstadt,800,21,1-Zimmer-Wohnung,01.07.2022
Möbilierte1-ZimmerWohnungzurZwischenmiete,MünchenNeuhausen-Nymphenburg,1180,40,1-Zimmer-Wohnung,01.08.2022-01.09.2022
"Helle,ruhige,moderne1-ZiWhg.inLaim",MünchenLaim,1085,33,1-Zimmer-Wohnung,15.07.2022-14.07.2024
Möblierte1-ZimmerWohnungmiteigenemBadfürAugust2022,MünchenSchwing-West,750,25,1-Zimmer-Wohnung,01.08.2022-03.09.2022
HellesStudentenappartement,MünchenLaim,616,21,1-Zimmer-Wohnung,01.09.2022
1-ZimmerWohnunginMünchenzurZwischenmietebefristetvon08.07.-18.07.22,MünchenSchwing-Freimann,260,37,1-Zimmer-Wohnung,08.07.2022-18.07.2022
Schöneundruhige1-ZimmerWohnung,MünchenMaxvorstadt,1100,47,1-Zimmer-Wohnung,08.07.2022-29.08.2022
Apartment/EinliegerwohnungmitZimmermietvertragf.1Person,MünchenSendling-Westpark,730,29,1-Zimmer-Wohnung,21.06.2022-01.12.2027
"Short-TermFlat(Single:€1000/MorCouple:€1200/M,internet+electricity+watercostsincluded)inCentralMunich(Maxvorstadt)",MünchenMaxvorstadt,1000,37,1-Zimmer-Wohnung,10.07.2022-10.09.2022
ab1.10.22:Vollausgestattete1-Zimmer-Wohnungin4-FamilienhausinParkgrundstückamLerchenauerSee,MünchenLerchenau,710,21,1-Zimmer-Wohnung,01.10.2022-30.09.2023
ZWISCHENMIETEUNTILSEPTEMBER,MünchenPlanegg,750,20,1-Zimmer-Wohnung,01.07.2022-15.09.2022
(Verfügbar1-24Monate)-KomfortablesEin-ZimmerApartmentinSchwabing-Nord(RAP3),MünchenSchwing-West,1400,30,1-Zimmer-Wohnung,01.09.2022
WohnungzurUntermietefürknapp4Wochen,MünchenSchwing-Freimann,800,33,1-Zimmer-Wohnung,09.07.2022-04.08.2022
EinSingleAppartementsorichtigzumWohlfühlen,MünchenPasing-Obermenzing,900,30,1-Zimmer-Wohnung,21.06.2022-31.05.2025
1Zi.Apartment-Balkon-ruhig,MünchenObergiesing-Fasangarten,585,18,1-Zimmer-Wohnung,01.07.2022
"Schöne,kleineWohnungamWaldrandsuchtUntermieter_inmitgrünemDaumen",MünchenThalkirchen-Obersendling-...,778,43,1-Zimmer-Wohnung,06.08.2022-06.08.2023
"31qm1-Zimmer-WohnunginzentralerLageMaxvorstadt,AmalienstraßenebenLMU,U3,U6Universität/Odeonsplatz,Parkett,Einbauküche,Bad,Internet,eigenerKeller,Fahrradkeller,Aufzugzum1.OG,Parkplatz",MünchenMaxvorstadt,1250,31,1-Zimmer-Wohnung,15.08.2022
U1Wettersteinplatz:01.08.22-10.09.22möbliertesApartment,MünchenGiesing,830,23,1-Zimmer-Wohnung,01.08.2022-10.09.2022
Gemütlichemöbilierte1-ZimmerWohnungdirektbeidenPinakothekenzuvermieten,MünchenMaxvorstadt,850,30,1-Zimmer-Wohnung,04.07.2022-30.09.2022
ModernesApartmentvollmöbliertmitgroßerTerrasseNäheOstbahnhof,MünchenUntergiesing-Harlaching,1150,45,1-Zimmer-Wohnung,01.09.2022-15.01.2023
Schickesrenoviertes1ZimmerAppartment,MünchenRiem,850,16,1-Zimmer-Wohnung,01.09.2022
"HerbstinMünchen-chilligeWohnungamPartnachplatz(U6)-neuesParkett,zentral",MünchenSendling,939,38,1-Zimmer-Wohnung,03.10.2022-31.12.2022
Studentenappartementabdem01.08.,MünchenSchwing-Freimann,690,17,1-Zimmer-Wohnung,01.08.2022
"ruhigesDesigner1ZimmerApartment,vollmöbliert,neusaniert,mitEBK,Balkon,Waschtrockner",MünchenNeuhausen-Nymphenburg,1400,24,1-Zimmer-Wohnung,01.08.2022
BieteMünchenSucheBerlin.NurTauschangebot,MünchenSchwing-West,600,29,1-Zimmer-Wohnung,01.09.2022
VollmöbliertesApartmentimStudentenwohnheim-Youniq,MünchenSendling,819,18,1-Zimmer-Wohnung,28.07.2022-28.09.2022
Vollmöblierte1-Zi-Whg.Maxvorstadt,MünchenMaxvorstadt,850,27,1-Zimmer-Wohnung,19.06.2022-01.01.2023
(Verfügbar1-24Monate)-SchönesApartmentmitDoppelbettamOlympiazentrum,MünchenMoosach,1474,24,1-Zimmer-Wohnung,10.07.2022
VollmöbliertesApartmentimStudentenwohnserviceYouniq,MünchenSendling,728,17,1-Zimmer-Wohnung,01.09.2022-31.12.2022
Teilmöblierte1Zi.WohnungmitBalkon+TG+Schwimmbad,MünchenBogenhausen,1120,32,1-Zimmer-Wohnung,01.07.2022
"Zwischenmieter:ingesuchtfür21m²EinraumwohnungmitBalkon,Küchenzeile&BadinStudentenwohnheim(1.Sep22-1.März23)",MünchenSchwing-Freimann,633,21,1-Zimmer-Wohnung,01.09.2022-01.03.2023
MöbeliertesApartmentinThalkirchen-PerfektfürHomeOfficeundOutdoorAktivitäten,MünchenThalkirchen-Obersendling-...,970,37,1-Zimmer-Wohnung,31.07.2022-01.11.2022
StudioApartment-central&backyard+balcony||(01.Feb.23-31.May.23)||zentral&Hinterhof+Balkon,MünchenGlockenbach,1050,39,1-Zimmer-Wohnung,01.02.2023-31.05.2023
"1,5ZimmerWohnungmitBalkon",MünchenSendling-Westpark,1050,45,1-Zimmer-Wohnung,01.08.2022-31.01.2023
1-3ZimmerwohnungmöbliertmitgroßemBalkonzurZwischenmiete,MünchenThalkirchen-Obersendling-...,1190,40,1-Zimmer-Wohnung,01.08.2022-30.09.2022
"Zwischenmieterinfürmeineschöne1ZimmerwohnunginNymphenburg-Neuhausengesucht,vollmöbliert(nurweiblichePersonen)",MünchenNeuhausen-Nymphenburg,850,29,1-Zimmer-Wohnung,01.11.2022-15.04.2023
VollmöbliertesRenoviertesStudio-ApartmentinGiesing,MünchenObergiesing-Fasangarten,1150,25,1-Zimmer-Wohnung,01.07.2022
WohnungfürWiesnbedienung,MünchenLaim,1000,42,1-Zimmer-Wohnung,16.09.2022-04.10.2022
HOTOFFERSTILLAVAILABLE!!!!!BESTEANGEBOTINSCHWABING-ONLY22.07.2022until28.07.2022,MünchenSchwing-West,400,38,1-Zimmer-Wohnung,22.07.2022-28.07.2022
1-ZimmerWohnunggegenüberderLMU,MünchenMaxvorstadt,1300,32,1-Zimmer-Wohnung,27.12.2022-31.03.2023
MöblierteWohnung/FurnishedAppartinMunich,MünchenKieferngarten,700,40,1-Zimmer-Wohnung,01.07.2022-01.10.2022
"Schöne,moderneundmöblierteWohnunginSchwabingzuvermieten",MünchenSchwing-West,995,28,1-Zimmer-Wohnung,03.07.2022-07.10.2023
ZimmerinSouterrain,MünchenSendling,420,18,1-Zimmer-Wohnung,16.06.2022
1-Zimmer-WohnungnähePrinzregentenplatz(möbliert)alleNebenkosteninklusive,MünchenAu-Haidhausen,1200,36,1-Zimmer-Wohnung,01.08.2022-31.07.2023
KURZFRISTIGFÜREINENMONAT-ZENTRAL-RUHIG-DIREKTAMGÄRTNERPLATZ,MünchenMünchen,780,48,1-Zimmer-Wohnung,21.06.2022-19.07.2022
1-Zi.STUDENTENWOHNUNGzurNachmieteinMünchen-Laim,MünchenLaim,730,23,1-Zimmer-Wohnung,01.08.2022
SchöneWohnungamCandidplatzONLYFORAUGUST,MünchenUntergiesing-Harlaching,950,40,1-Zimmer-Wohnung,01.08.2022-01.09.2022
Schöne1-ZimmerWohnungamRotkreuzplatzzurZwischenmiete,MünchenNeuhausen-Nymphenburg,900,28,1-Zimmer-Wohnung,19.09.2022-08.01.2023
OneroomapartmentinMunichfor2months(from01.07tilltheendofAugust),MünchenObergiesing-Fasangarten,870,30,1-Zimmer-Wohnung,01.07.2022-31.08.2022
SchöneVollmöblierteWohnungimHerzenvonGiesing,MünchenObergiesing-Fasangarten,1049,28,1-Zimmer-Wohnung,01.08.2022-31.12.2022
"Befristet:1ZimmerWohnungmöbliert,München-AuHaushausen,isarnah,Schlafcouch,Küchenzeile,BadmitWanne",MünchenAu-Haidhausen,650,30,1-Zimmer-Wohnung,10.07.2022-25.07.2022
SehrruhigegemütlicheWohnunginMaxvorstadt,MünchenGeorgenstr.Josephsplatz,750,38,1-Zimmer-Wohnung,27.06.2022
ZwischenmieteimwunderschönenHaidhausen//Shortterm(01.08-28.08),MünchenAu-Haidhausen,900,35,1-Zimmer-Wohnung,01.08.2022-28.08.2022
(Verfügbar1-24Monate)-BusinessSingleApartment,München,1528,21,1-Zimmer-Wohnung,11.08.2022
UnityStudioApartment//ShortTerm(13.08-05.10),MünchenLandsbergerStr.,740,20,1-Zimmer-Wohnung,13.08.2022-07.10.2022
[Tauschangebot]EinzimmerwohnungimHerzenvonSchwabing,MünchenMaxvorstadt,470,21,1-Zimmer-Wohnung,01.07.2022
WunderschönesDesigner-Apartment-superZentral-ErstbezugnachRenovierung+Möblierung,MünchenNeuhausen-Nymphenburg,1310,30,1-Zimmer-Wohnung,01.08.2022
"Wunderschöne1,5-ZimmerWhgamJosephsplatz",MünchenMaxvorstadt,1365,37,1-Zimmer-Wohnung,14.06.2022
StudentApartmentinMunichFreimannfromSep.22tillendofFeb.22,MünchenSchwing-Freimann,800,24,1-Zimmer-Wohnung,10.09.2022-28.02.2023
HelleEin-Zimmer-WohnungzurUntermiete,MünchenLudwigsvorstadt-Isarvorstadt,795,35,1-Zimmer-Wohnung,26.08.2022-16.09.2022
ShortTermRent:Flatincentrallocation,MünchenSchwing-West,750,30,1-Zimmer-Wohnung,15.09.2022-31.10.2022
1-ZimmerWohnungamOEZ,MünchenMoosach,930,39,1-Zimmer-Wohnung,20.06.2022-01.11.2022
1-Zimmer-WohnungimZentrum*befristet*,MünchenSchwing-Freimann,800,28,1-Zimmer-Wohnung,20.08.2022-24.09.2022
Helle1-Zimmer-WohnunginderSommerstraße,MünchenUntergiesing-Harlaching,970,44,1-Zimmer-Wohnung,01.09.2022
StudiozurMieteinLudwigsvorstadt-Isarvorstadt-München,MünchenLudwigsvorstadt-Isarvorstadt,1200,30,1-Zimmer-Wohnung,01.07.2022
"1-ZimmerWohnungfürStudenten,Auszubildende,Promovierende",MünchenThalkirchen-Obersendling-...,750,21,1-Zimmer-Wohnung,16.08.2022
NurzumÜbernachtungTeilungGemütlichzwischenMiete++Gemeinsam,MünchenMünchen,25,23,1-Zimmer-Wohnung,13.06.2022-20.09.2022
schöne1-ZimmerWohnungMünchenfür2Monate,MünchenLaim,800,35,1-Zimmer-Wohnung,01.07.2022-11.09.2022
"1,5Appartementfullyfurnished",MünchenNeuhausen-Nymphenburg,1150,35,1-Zimmer-Wohnung,01.01.2023-01.08.2023
(Verfügbar1-24Monate)-StudioApartmentamOlympiazentrum,MünchenMoosach,1616,30,1-Zimmer-Wohnung,01.08.2022
"Gemütliches,komplettmöbliertes1-Zi.-ApartmentnaheOlympiapark",MünchenNeuhausen-Nymphenburg,1200,26,1-Zimmer-Wohnung,13.06.2022
"Exklusive1helleZimmerWohnungmitEinbaukücheinderMaxvorstadt,München",MünchenMaxvorstadt,800,15,1-Zimmer-Wohnung,01.08.2022
"Untermiete2,5ZimmerWohnungfürAugust",MünchenMaxvorstadt,920,42,1-Zimmer-Wohnung,03.08.2022-28.08.2022
1-Zimmer-WohnungvonAugustbisFebruar,MünchenNeuhausen-Nymphenburg,830,27,1-Zimmer-Wohnung,01.08.2022-28.02.2023
1ZiWohnungmitBalkoninLeopoldstrasse,MünchenSchwing-Freimann,650,32,1-Zimmer-Wohnung,01.07.2022-15.07.2022
Ruhige1Zimmer-WhginsuperLagezurZwischenmiete!,MünchenSendling,500,30,1-Zimmer-Wohnung,23.06.2022-09.07.2022
"Helle1-Zimmer-WohnunginSchwabingWest(34qm,zurZwischenmiete01.11.-31.12.2022)",MünchenSchwing-West,1200,34,1-Zimmer-Wohnung,01.11.2022-31.12.2022
ZwischenmieteinObergießing,MünchenObergiesing-Fasangarten,950,43,1-Zimmer-Wohnung,07.07.2022-23.09.2022
"ZwischenMieteinwunderschönerWohnung,renoviert,stilvollmöbliert",MünchenSendling-Westpark,990,32,1-Zimmer-Wohnung,06.08.2022-06.01.2023
"Availablefrom18thJulytoendOct/Nov2022(flexible)-Sublet1.5roomapartmentinSendling(noregistration/anmeldung,potentialtoextendafteroct2022tobediscussedbefore)",MünchenSendling,1100,35,1-Zimmer-Wohnung,18.07.2022-31.10.2022
ShorttermprivateroomforrentinFrankfurterRing,MünchenFrankfurterRing,750,25,1-Zimmer-Wohnung,19.06.2022-19.07.2022
Zentrale1Zimmer-WohnungzurZwischenmiete,MünchenAu-Haidhausen,820,33,1-Zimmer-Wohnung,20.06.2022-01.09.2022
"SchwabingWest,vollmöbliert,33,6qm",MünchenSchwing-West,900,33,1-Zimmer-Wohnung,10.06.2022-11.07.2022
"Exklusive,zentrale,mitBalkon,EBKundTraumblickaufdenLuitpoldparkinSchwabing",MünchenSchwing-West,1450,40,1-Zimmer-Wohnung,01.10.2022
1-ZimmerWohnungMaxvostadt,MünchenMaxvorstadt,950,37,1-Zimmer-Wohnung,20.08.2022-23.12.2022
